INSERT INTO HARD_DRIVE VALUES( 'WD10EZEX', 'Western Digital', '44.99', '64MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'SSDSC2BW180H601', 'Intel', '90.98', 'N/A', 'SSD', '180GB');
INSERT INTO HARD_DRIVE VALUES( 'WD4000FYYZ', 'Western Digital', '219.99', '64MB', '7200RPM', '4TB');
INSERT INTO HARD_DRIVE VALUES( 'WD10000LSRTL', 'Western Digital', '0', '32MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'ST6000AS0002', 'Seagate', '220.00', '128MB', '5900RPM', '6TB');
INSERT INTO HARD_DRIVE VALUES( 'ST1000NM0053', 'Seagate', '104.99', '128MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'WD60EZRZ', 'Western Digital', '199.98', '64MB', '5400RPM', '6TB');
INSERT INTO HARD_DRIVE VALUES( 'CSSD-F240GBLS', 'Corsair', '0', '512MB', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'SH103S3B/240G', 'Kingston', '149.99', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-7TD250KW', 'Samsung', '169.48', 'N/A', 'SSD', '250GB');
INSERT INTO HARD_DRIVE VALUES( 'HDS721010DLE630', 'Hitachi', '121.59', '32MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'WD5000AADS', 'Western Digital', '44.95', '32MB', '5400RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'HDWE160XZSTA', 'Toshiba', '228.00', '128MB', '7200RPM', '6TB');
INSERT INTO HARD_DRIVE VALUES( 'SV300S3D7/120G', 'Kingston', '64.98', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'ASX900S3-128GM-C', 'A-Data', '91.44', 'N/A', 'SSD', '128GB');
INSERT INTO HARD_DRIVE VALUES( 'ASP900S3-64GM-C', 'A-Data', '39.99', 'N/A', 'SSD', '64GB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-7PD256Z DUP', 'Samsung', '0', '256MB', 'SSD', '256GB');
INSERT INTO HARD_DRIVE VALUES( 'MDM242-SBe-064', 'MyDigitalSSD', '32.49', 'N/A', 'SSD', '64GB');
INSERT INTO HARD_DRIVE VALUES( 'ST31500341AS', 'Seagate', '124.00', '32MB', '7200RPM', '1.5TB');
INSERT INTO HARD_DRIVE VALUES( 'ZTSSD-A5P-240G-PE', 'Zotac', '79.99', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'CT064M4SSD2', 'Crucial', '83.95', 'N/A', 'SSD', '64GB');
INSERT INTO HARD_DRIVE VALUES( 'SV300S3N7A/240G', 'Kingston', '94.99', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( '0S03563', 'Hitachi', '64.99', '32MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-7TE500LW', 'Samsung', '0', 'N/A', 'SSD', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'WD3000BLFS', 'Western Digital', '71.74', '16MB', '10000RPM', '300GB');
INSERT INTO HARD_DRIVE VALUES( 'ST320005N1A1AS-RK', 'Seagate', '0', '64MB', '7200RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'WD1501FASS', 'Western Digital', '128.00', '64MB', '7200RPM', '1.5TB');
INSERT INTO HARD_DRIVE VALUES( 'ST3320413AS', 'Seagate', '38.00', '16MB', '7200RPM', '320GB');
INSERT INTO HARD_DRIVE VALUES( 'WD1003FBYZ', 'Western Digital', '84.99', '64MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'CT256M4SSD2', 'Crucial', '174.77', 'N/A', 'SSD', '256GB');
INSERT INTO HARD_DRIVE VALUES( 'SSDSC2CW240A310', 'Intel', '0', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'CSSD-N240GBGTXB-BK', 'Corsair', '299.64', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'SSDPECME016T401', 'Intel', '3534.99', 'N/A', 'SSD', '1.6TB');
INSERT INTO HARD_DRIVE VALUES( 'HD103UJ', 'Samsung', '118.00', '32MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-M5E1T0BW', 'Samsung', '343.15', 'N/A', 'SSD', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'WD15EARS', 'Western Digital', '79.75', '64MB', '5400RPM', '1.5TB');
INSERT INTO HARD_DRIVE VALUES( 'HDTS724XZSTA', 'Toshiba', '99.99', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'ST2000VX003', 'Seagate', '82.99', '64MB', '5400RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'OCZSSD2-1CLSLT1T', 'OCZ', '0', '128MB', 'SSD', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'CSSD-F128GBGS-BK', 'Corsair', '112.98', 'N/A', 'SSD', '128GB');
INSERT INTO HARD_DRIVE VALUES( 'MKNSSDCR480GB-7-A', 'Mushkin', '135.99', 'N/A', 'SSD', '480GB');
INSERT INTO HARD_DRIVE VALUES( '0F12455', 'Hitachi', '130.00', '64MB', '7200RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'SSDSC2BP240G410', 'Intel', '198.99', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'PX-AG128M6E', 'Plextor', '199.99', 'N/A', 'SSD', '128GB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-7TD500BW', 'Samsung', '229.98', 'N/A', 'SSD', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'CSSD-F120GBGT-BK', 'Corsair', '0', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'ST250DM000', 'Seagate', '45.99', '16MB', '7200RPM', '250GB');
INSERT INTO HARD_DRIVE VALUES( 'ASP900NS38-128GM-C', 'A-Data', '56.99', 'N/A', 'SSD', '128GB');
INSERT INTO HARD_DRIVE VALUES( 'MDM242-SB-032', 'MyDigitalSSD', '29.99', 'N/A', 'SSD', '32GB');
INSERT INTO HARD_DRIVE VALUES( 'SSDPE2MD800G401', 'Intel', '1065.98', 'N/A', 'SSD', '800GB');
INSERT INTO HARD_DRIVE VALUES( 'ASP920SS3-256GM-C', 'A-Data', '80.98', 'N/A', 'SSD', '256GB');
INSERT INTO HARD_DRIVE VALUES( 'SSDSA2BZ300G301', 'Intel', '89.00', 'N/A', 'SSD', '300GB');
INSERT INTO HARD_DRIVE VALUES( 'ASP920SS3-128GM-C', 'A-Data', '48.98', 'N/A', 'SSD', '128GB');
INSERT INTO HARD_DRIVE VALUES( 'VTX3-25SAT3-120G', 'OCZ', '0', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'CT960BX200SSD1', 'Crucial', '299.99', 'N/A', 'SSD', '960GB');
INSERT INTO HARD_DRIVE VALUES( 'WD5001FSYZ', 'Western Digital', '404.80', '128MB', '7200RPM', '5TB');
INSERT INTO HARD_DRIVE VALUES( 'PX-G256M6e', 'Plextor', '249.99', 'N/A', 'SSD', '256GB');
INSERT INTO HARD_DRIVE VALUES( 'CT1024M550SSD1', 'Crucial', '474.97', 'N/A', 'SSD', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'CT256M550SSD1', 'Crucial', '186.86', 'N/A', 'SSD', '256GB');
INSERT INTO HARD_DRIVE VALUES( 'ST1000LM024', 'Samsung', '59.00', '8MB', '5400RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'CSSD-F480GBLSB', 'Corsair', '189.99', 'N/A', 'SSD', '480GB');
INSERT INTO HARD_DRIVE VALUES( 'WD3200AAKX', 'Western Digital', '48.99', '16MB', '7200RPM', '320GB');
INSERT INTO HARD_DRIVE VALUES( 'TS1TSSD370S', 'Transcend', '359.97', 'N/A', 'SSD', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-7WD800EW', 'Samsung', '867.98', 'N/A', 'SSD', '800GB');
INSERT INTO HARD_DRIVE VALUES( 'A7K1000-500', 'Hitachi', '85.59', '32MB', '7200RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( '0F23651', 'Hitachi', '727.98', '128MB', '7200RPM', '8TB');
INSERT INTO HARD_DRIVE VALUES( 'SHSS3B7A/480G Bundle', 'Kingston', '198.99', 'N/A', 'SSD', '480GB');
INSERT INTO HARD_DRIVE VALUES( 'SSDSC2BB600G401', 'Intel', '448.99', 'N/A', 'SSD', '600GB');
INSERT INTO HARD_DRIVE VALUES( 'AGT3-25SAT3-120G', 'OCZ', '0', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'CSSD-N120GBGTXB-BK', 'Corsair', '127.99', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'HMH7210A0ALE604', 'Hitachi', '0', '256MB', '7200RPM', '10TB');
INSERT INTO HARD_DRIVE VALUES( 'ST3750525AS', 'Seagate', '95.00', '32MB', '7200RPM', '750GB');
INSERT INTO HARD_DRIVE VALUES( 'PB240GS25SSDR', 'Patriot', '114.83', '512MB', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'SV300S3D7/240G', 'Kingston', '89.00', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'SD7UB2Q-512G-1122', 'Sandisk', '230.00', 'N/A', 'SSD', '512GB');
INSERT INTO HARD_DRIVE VALUES( 'ST5000VN0001', 'Seagate', '234.99', '128MB', '7200RPM', '5TB');
INSERT INTO HARD_DRIVE VALUES( 'WD15EZRX', 'Western Digital', '0', '64MB', '7200RPM', '1.5TB');
INSERT INTO HARD_DRIVE VALUES( 'HDTS351XZSTA', 'Toshiba', '204.99', 'N/A', 'SSD', '512GB');
INSERT INTO HARD_DRIVE VALUES( 'WD15EVDS', 'Western Digital', '60.00', '32MB', '5400RPM', '1.5TB');
INSERT INTO HARD_DRIVE VALUES( 'CSSD-N480GBXT', 'Corsair', '269.99', 'N/A', 'SSD', '480GB');
INSERT INTO HARD_DRIVE VALUES( 'SH100S3B/120G', 'Kingston', '139.99', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'MKNSSDCR120GB', 'Mushkin', '69.89', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'ST1000VM002', 'Seagate', '55.99', '64MB', '5900RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'AGT3-25SAT3-60G', 'OCZ', '58.44', 'N/A', 'SSD', '60GB');
INSERT INTO HARD_DRIVE VALUES( 'SSC-D0256SC-2100', 'Western Digital', '0', 'N/A', 'SSD', '256GB');
INSERT INTO HARD_DRIVE VALUES( 'SSDSC2BW480H6R5', 'Intel', '149.99', 'N/A', 'SSD', '480GB');
INSERT INTO HARD_DRIVE VALUES( 'TS64GSSD370', 'Transcend', '41.87', 'N/A', 'SSD', '64GB');
INSERT INTO HARD_DRIVE VALUES( 'CSSD-F240GBGT-BK', 'Corsair', '193.99', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'ST3250318AS', 'Seagate', '30.50', '8MB', '7200RPM', '250GB');
INSERT INTO HARD_DRIVE VALUES( 'WDBSLA0040HNC-NRSN', 'Western Digital', '210.99', '32MB', '7200RPM', '4TB');
INSERT INTO HARD_DRIVE VALUES( 'ST1000LM015', 'Seagate', '91.99', 'N/A', 'Hybrid', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'SS050S2/16G', 'Kingston', '0', 'N/A', 'SSD', '16GB');
INSERT INTO HARD_DRIVE VALUES( 'ST2000DL003', 'Seagate', '189.89', '64MB', '5900RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'TS64GMTS800', 'Transcend', '44.99', 'N/A', 'SSD', '64GB');
INSERT INTO HARD_DRIVE VALUES( 'TS256GMTS400', 'Transcend', '114.99', 'N/A', 'SSD', '256GB');
INSERT INTO HARD_DRIVE VALUES( 'WD1200BEVT', 'Western Digital', '26.50', '8MB', '5400RPM', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'ST500LM001', 'Seagate', '70.30', 'N/A', 'Hybrid', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'CT512M4SSD2', 'Crucial', '367.95', 'N/A', 'SSD', '512GB');
INSERT INTO HARD_DRIVE VALUES( 'SSDSC2BF120H501', 'Intel', '70.30', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'WD5001F9YZ', 'Western Digital', '384.78', '128MB', '7200RPM', '5TB');
INSERT INTO HARD_DRIVE VALUES( 'ST31000520AS', 'Seagate', '0', '32MB', '5900RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'CT480M500SSD1', 'Crucial', '304.59', 'N/A', 'SSD', '480GB');
INSERT INTO HARD_DRIVE VALUES( 'MK3261GSYN', 'Toshiba', '0', '16MB', '7200RPM', '320GB');
INSERT INTO HARD_DRIVE VALUES( '7K3000', 'Hitachi', '154.00', '64MB', '7200RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'ST3500413AS', 'Seagate', '128.89', '16MB', '7200RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'ST120HM000', 'Seagate', '149.98', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'ST4000VN003', 'Seagate', '173.99', '64MB', '5400RPM', '4TB');
INSERT INTO HARD_DRIVE VALUES( 'CSSD-N240GBXT', 'Corsair', '144.20', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'VTR180-25SAT3-120G', 'OCZ', '49.99', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'TS128GSSD340', 'Transcend', '49.99', 'N/A', 'SSD', '128GB');
INSERT INTO HARD_DRIVE VALUES( 'HDWD105XZSTA', 'Toshiba', '44.99', '64MB', '7200RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-7PC256B/WW', 'Samsung', '404.96', 'N/A', 'SSD', '256GB');
INSERT INTO HARD_DRIVE VALUES( 'WD40PURX', 'Western Digital', '154.99', '64MB', '5400RPM', '4TB');
INSERT INTO HARD_DRIVE VALUES( 'TS512GMTS800', 'Transcend', '191.93', 'N/A', 'SSD', '512GB');
INSERT INTO HARD_DRIVE VALUES( 'TS512GSSD370', 'Transcend', '174.98', 'N/A', 'SSD', '512GB');
INSERT INTO HARD_DRIVE VALUES( 'ST2000VN0011', 'Seagate', '178.46', '128MB', '7200RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'VTR180-25SAT3-480G', 'OCZ', '149.99', 'N/A', 'SSD', '480GB');
INSERT INTO HARD_DRIVE VALUES( 'CT512M550SSD1', 'Crucial', '325.49', 'N/A', 'SSD', '512GB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-7GE240EW', 'Samsung', '189.99', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'WD6000BLHX', 'Western Digital', '99.00', '32MB', '10000RPM', '600GB');
INSERT INTO HARD_DRIVE VALUES( 'WD10JPVT', 'Western Digital', '59.50', '8MB', '5400RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'ST6000NM0024', 'Seagate', '304.99', '128MB', '7200RPM', '6TB');
INSERT INTO HARD_DRIVE VALUES( 'ST91000640NS', 'Seagate', '140.00', '64MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'MKNP22SC960GB', 'Mushkin', '755.98', 'N/A', 'SSD', '960GB');
INSERT INTO HARD_DRIVE VALUES( 'SKC310S3B7A/960G', 'Kingston', '409.99', 'N/A', 'SSD', '960GB');
INSERT INTO HARD_DRIVE VALUES( 'CSSD-F240GBGS-BK', 'Corsair', '179.99', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'ST1000DL002', 'Seagate', '103.00', '32MB', '5900RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'VTX4-25SAT3-64G', 'OCZ', '597.95', 'N/A', 'SSD', '64GB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-7TD120KW', 'Samsung', '244.98', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'TRO-SSD7-1TB-PRO', 'Eluktro', '324.91', 'N/A', 'SSD', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'ST32000641AS', 'Seagate', '177.00', '64MB', '7200RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'TS512GMTS600', 'Transcend', '219.93', 'N/A', 'SSD', '512GB');
INSERT INTO HARD_DRIVE VALUES( 'MKNSSDCR240GB-7', 'Mushkin', '80.98', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'ST500LM012', 'Samsung', '50.98', '8MB', '5400RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'ASP600NS34-256GM-C', 'A-Data', '85.99', 'N/A', 'SSD', '256GB');
INSERT INTO HARD_DRIVE VALUES( '0F23269', 'Hitachi', '549.99', '128MB', '7200RPM', '6TB');
INSERT INTO HARD_DRIVE VALUES( 'WD2003FYYS', 'Western Digital', '199.98', '64MB', '7200RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( '0F23657', 'Hitachi', '713.98', '128MB', '7200RPM', '8TB');
INSERT INTO HARD_DRIVE VALUES( 'TS256GSSD340', 'Transcend', '87.99', 'N/A', 'SSD', '256GB');
INSERT INTO HARD_DRIVE VALUES( 'ST500LX003', 'Seagate', '129.89', '32MB', 'Hybrid', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'ST33000651AS', 'Seagate', '0', '64MB', '7200RPM', '3TB');
INSERT INTO HARD_DRIVE VALUES( 'ST9160314AS', 'Seagate', '29.90', '8MB', '5400RPM', '160GB');
INSERT INTO HARD_DRIVE VALUES( 'HDTS412XZSTA', 'Toshiba', '69.99', 'N/A', 'SSD', '128GB');
INSERT INTO HARD_DRIVE VALUES( 'HDD3B04', 'Toshiba', '0', '64MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'SSDSC2CW180A3K5', 'Intel', '249.89', 'N/A', 'SSD', '180GB');
INSERT INTO HARD_DRIVE VALUES( 'TS16GSSD500', 'Transcend', '215.36', 'N/A', 'SSD', '16GB');
INSERT INTO HARD_DRIVE VALUES( 'WD3200AAKS', 'Western Digital', '0', '16MB', '7200RPM', '320GB');
INSERT INTO HARD_DRIVE VALUES( 'ST3500641AS-RK', 'Seagate', '51.88', '16MB', '7200RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'TS32GSSD370S', 'Transcend', '47.27', 'N/A', 'SSD', '32GB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-7TE750BW', 'Samsung', '0', 'N/A', 'SSD', '750GB');
INSERT INTO HARD_DRIVE VALUES( 'WD30EZRS', 'Western Digital', '247.95', '64MB', '5400RPM', '3TB');
INSERT INTO HARD_DRIVE VALUES( 'WD5003ABYX', 'Western Digital', '55.45', '64MB', '7200RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'SSDPEDMW400G401', 'Intel', '0', 'N/A', 'SSD', '400GB');
INSERT INTO HARD_DRIVE VALUES( 'SV310S37A/960G', 'Kingston', '397.99', 'N/A', 'SSD', '960GB');
INSERT INTO HARD_DRIVE VALUES( 'SSDSCKJW360H601', 'Intel', '179.99', 'N/A', 'SSD', '360GB');
INSERT INTO HARD_DRIVE VALUES( 'SM2280S3/120G', 'Kingston', '67.99', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'TRO-SSD7-512GB-PRO', 'Eluktro', '159.91', 'N/A', 'SSD', '512GB');
INSERT INTO HARD_DRIVE VALUES( 'ZD4CM84-HH-1.2T', 'OCZ', '6599.99', 'N/A', 'SSD', '1.2TB');
INSERT INTO HARD_DRIVE VALUES( 'A7K2000', 'Hitachi', '79.99', '32MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'MQ01ABD050', 'Toshiba', '39.99', '8MB', '5400RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'HDTS112XZSWA', 'Toshiba', '69.99', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'ST240FP0021', 'Seagate', '169.99', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'MDM242-SB-008', 'MyDigitalSSD', '19.99', 'N/A', 'SSD', '8GB');
INSERT INTO HARD_DRIVE VALUES( 'WD5000BPVT', 'Western Digital', '44.99', '8MB', '5400RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'ASP610SS3-256GM-C', 'A-Data', '0', 'N/A', 'SSD', '256GB');
INSERT INTO HARD_DRIVE VALUES( 'ST320DM000', 'Seagate', '36.99', '16MB', '7200RPM', '320GB');
INSERT INTO HARD_DRIVE VALUES( 'SD6SB1M-256G-1022I', 'Sandisk', '93.00', 'N/A', 'SSD', '256GB');
INSERT INTO HARD_DRIVE VALUES( 'ST5000DM000', 'Seagate', '163.15', '128MB', '5900RPM', '5TB');
INSERT INTO HARD_DRIVE VALUES( 'ST380215AS', 'Seagate', '45.49', '2MB', '7200RPM', '80GB');
INSERT INTO HARD_DRIVE VALUES( 'ST2000NX0253', 'Seagate', '345.25', '128MB', '7200RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'ASP920SS3-1TM-C', 'A-Data', '399.99', 'N/A', 'SSD', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'SSD9SC240GMDA-RB', 'PNY', '103.12', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'ST9160412AS', 'Seagate', '26.70', '16MB', '7200RPM', '160GB');
INSERT INTO HARD_DRIVE VALUES( 'WD3200BPVT', 'Western Digital', '38.70', '8MB', '5400RPM', '320GB');
INSERT INTO HARD_DRIVE VALUES( 'HTS545050A7E380', 'Hitachi', '72.39', '8MB', '5400RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'HD103SI', 'Samsung', '89.00', '32MB', '5400RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'ST1000NX0313', 'Seagate', '189.15', '128MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'WDBAAZ0010HNC-NRSN', 'Western Digital', '0', '32MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'VTX4-25SAT3-256G', 'OCZ', '429.99', 'N/A', 'SSD', '256GB');
INSERT INTO HARD_DRIVE VALUES( 'VTX460-25SAT3-240G', 'OCZ', '149.60', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'ST1000NM0011', 'Seagate', '69.95', '64MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-7PD128Z', 'Samsung', '0', 'N/A', 'SSD', '128GB');
INSERT INTO HARD_DRIVE VALUES( 'SSD7CS1211-120-RB', 'PNY', '52.00', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'HD321HJ', 'Samsung', '53.94', '8MB', '7200RPM', '320GB');
INSERT INTO HARD_DRIVE VALUES( 'HD161GJ', 'Samsung', '37.99', '8MB', '7200RPM', '160GB');
INSERT INTO HARD_DRIVE VALUES( 'ST500LM000', 'Seagate', '59.99', '64MB', '5400RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'WD1001FALS', 'Western Digital', '107.48', '32MB', '7200RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'SDSSDX-120G-G25', 'Sandisk', '119.59', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'SHSS3B7A/120G Bundle', 'Kingston', '85.26', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'Data Fusion 2-way', 'VisionTek', '1068.99', 'N/A', 'SSD', '960GB');
INSERT INTO HARD_DRIVE VALUES( 'PX-128M6S', 'Plextor', '69.89', 'N/A', 'SSD', '128GB');
INSERT INTO HARD_DRIVE VALUES( 'ST1000DM005/HD103SJ', 'Samsung', '0', '32MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'ST2000VN001', 'Seagate', '113.99', '64MB', '5400RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'HD254GJ', 'Samsung', '34.74', '8MB', '7200RPM', '250GB');
INSERT INTO HARD_DRIVE VALUES( 'OCZSSD2-1CLS1T', 'OCZ', '0', '128MB', 'SSD', '1TB');
INSERT INTO HARD_DRIVE VALUES( '0F14688', 'Hitachi', '209.74', '64MB', '7200RPM', '4TB');
INSERT INTO HARD_DRIVE VALUES( 'ST31500541AS', 'Seagate', '59.95', '32MB', '5900RPM', '1.5TB');
INSERT INTO HARD_DRIVE VALUES( 'SDSSDP-256G-G25', 'Sandisk', '159.98', 'N/A', 'SSD', '256GB');
INSERT INTO HARD_DRIVE VALUES( 'WD10EARX', 'Western Digital', '0', '64MB', '5400RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'CSSD-N120GBGTX-BK', 'Corsair', '126.98', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'WD3000FYYZ', 'Western Digital', '165.00', '64MB', '7200RPM', '3TB');
INSERT INTO HARD_DRIVE VALUES( 'WD60PURX', 'Western Digital', '239.99', '64MB', '5400RPM', '6TB');
INSERT INTO HARD_DRIVE VALUES( 'SSDSC2BF480H501', 'Intel', '199.99', 'N/A', 'SSD', '480GB');
INSERT INTO HARD_DRIVE VALUES( 'WD2500BEKT', 'Western Digital', '0', '16MB', '7200RPM', '250GB');
INSERT INTO HARD_DRIVE VALUES( 'ST3000VX006', 'Seagate', '106.49', '64MB', '5900RPM', '3TB');
INSERT INTO HARD_DRIVE VALUES( 'CT250MX200SSD3', 'Crucial', '94.99', 'N/A', 'SSD', '250GB');
INSERT INTO HARD_DRIVE VALUES( 'ST3160815AS', 'Seagate', '35.65', '8MB', '7200RPM', '160GB');
INSERT INTO HARD_DRIVE VALUES( '0F18335', 'Hitachi', '374.40', '64MB', '7200RPM', '6TB');
INSERT INTO HARD_DRIVE VALUES( 'SSDSCKJW240H601', 'Intel', '108.99', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'MZ-7WD400EW', 'Samsung', '0', '512MB', 'SSD', '400GB');
INSERT INTO HARD_DRIVE VALUES( 'ST32000644NS', 'Seagate', '220.98', '64MB', '7200RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'WD1600AVVS', 'Western Digital', '22.95', '8MB', '5400RPM', '160GB');
INSERT INTO HARD_DRIVE VALUES( '0J11285', 'Hitachi', '43.90', '8MB', '5400RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'WD200MFYYZ', 'Western Digital', '0', '64MB', '7200RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'ST800FM0002', 'Seagate', '4435.79', 'N/A', 'SSD', '800GB');
INSERT INTO HARD_DRIVE VALUES( 'TS1TSSD370', 'Transcend', '328.37', 'N/A', 'SSD', '1TB');
INSERT INTO HARD_DRIVE VALUES( '0T00167', 'Hitachi', '4299.00', 'N/A', 'SSD', '2TB');
INSERT INTO HARD_DRIVE VALUES( '0B26886', 'Hitachi', '280.98', '64MB', '7200RPM', '3TB');
INSERT INTO HARD_DRIVE VALUES( 'WD7500LPCX', 'Western Digital', '71.57', '16MB', '5400RPM', '750GB');
INSERT INTO HARD_DRIVE VALUES( 'T253L3120GMC101', 'Team', '39.99', 'N/A', 'SSD', '120GB');
